"year","geo","series_order","tipo_delito","offense_type","count"
2000,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",695
2000,"PR",2,"Violación","Violación",228
2000,"PR",3,"Robo","Robo",8757
2000,"PR",4,"Agresión Agravada","Agresión Agravada",2726
2000,"PR",5,"Escalamiento","Escalamiento",21057
2000,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",28940
2000,"PR",7,"Hurto de Auto","Hurto de Auto",12976
2001,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",747
2001,"PR",2,"Violación","Violación",187
2001,"PR",3,"Robo","Robo",7999
2001,"PR",4,"Agresión Agravada","Agresión Agravada",2473
2001,"PR",5,"Escalamiento","Escalamiento",19931
2001,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",26140
2001,"PR",7,"Hurto de Auto","Hurto de Auto",12643
2002,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",774
2002,"PR",2,"Violación","Violación",241
2002,"PR",3,"Robo","Robo",9005
2002,"PR",4,"Agresión Agravada","Agresión Agravada",3489
2002,"PR",5,"Escalamiento","Escalamiento",24863
2002,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",39869
2002,"PR",7,"Hurto de Auto","Hurto de Auto",12982
2003,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",787
2003,"PR",2,"Violación","Violación",204
2003,"PR",3,"Robo","Robo",7737
2003,"PR",4,"Agresión Agravada","Agresión Agravada",3165
2003,"PR",5,"Escalamiento","Escalamiento",20857
2003,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",36827
2003,"PR",7,"Hurto de Auto","Hurto de Auto",12211
2004,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",793
2004,"PR",2,"Violación","Violación",199
2004,"PR",3,"Robo","Robo",6030
2004,"PR",4,"Agresión Agravada","Agresión Agravada",3023
2004,"PR",5,"Escalamiento","Escalamiento",18264
2004,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",31681
2004,"PR",7,"Hurto de Auto","Hurto de Auto",10128
2005,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",771
2005,"PR",2,"Violación","Violación",169
2005,"PR",3,"Robo","Robo",5550
2005,"PR",4,"Agresión Agravada","Agresión Agravada",3094
2005,"PR",5,"Escalamiento","Escalamiento",17191
2005,"PR",6,"Apropiación Ilegal","Apropiación Ilegal",28976
2005,"PR",7,"Hurto de Auto","Hurto de Auto",9299
2006,"PR",1,"Asesinato/Homicidio","Asesinato/Homicidio",748
2006,"PR",2,"Violación","Violación",118
